instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K1.json,1,50,27.775,0,3121,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K10.json,10,50,13.036,0,3121,1,10,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K11.json,11,50,13.047,0,3121,1,11,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K12.json,12,50,12.212,0,3121,1,12,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K13.json,13,50,12.188,0,3121,1,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K14.json,14,50,13.409,0,3121,1,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K15.json,15,50,12.677,0,3121,1,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K16.json,16,50,14.072,0,3121,1,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K17.json,17,50,13.741,0,3121,1,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K18.json,18,50,13.575,0,3121,1,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K19.json,19,50,14.235,0,3121,1,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K2.json,2,50,20.403,0,3121,1,2,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K20.json,20,50,14.314,0,3121,1,20,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K21.json,21,50,15.217,0,3121,1,21,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K22.json,22,50,16.047,0,3121,1,22,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K23.json,23,50,16.083,0,3121,1,23,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K24.json,24,50,13.449,0,3121,1,24,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K25.json,25,50,15.460,0,3121,1,25,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K26.json,26,50,15.864,0,3121,1,26,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K27.json,27,50,20.927,0,3121,1,27,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K28.json,28,50,22.152,0,3121,1,28,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K29.json,29,50,18.677,0,3121,1,29,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K3.json,3,50,18.725,0,3121,1,3,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K30.json,30,50,28.035,0,3121,1,30,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K31.json,31,50,23.868,0,3121,1,31,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K32.json,32,50,26.927,0,3121,1,32,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K33.json,33,50,22.763,0,3121,1,33,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K34.json,34,50,30.986,0,3121,1,34,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K35.json,35,50,20.926,0,3121,1,35,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K36.json,36,50,37.051,0,3121,1,36,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K37.json,37,50,30.845,0,3121,1,37,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K38.json,38,50,28.349,0,3121,1,38,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K39.json,39,50,23.264,0,3121,1,39,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K4.json,4,50,11.676,0,3121,1,4,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K40.json,40,50,39.469,0,3121,1,40,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K5.json,5,50,14.624,0,3121,1,5,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K6.json,6,50,13.224,0,3121,1,6,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K7.json,7,50,13.210,0,3121,1,7,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K8.json,8,50,11.584,0,3121,1,8,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data_multi_agent/8/8_K9.json,9,50,11.519,0,3121,1,9,0
