instance_path,K,time_limit_s,wall_time_s,exit_code,total_score,total_route_distance,total_route_time,paths_vertex_ok,agents_in_solution,all_vertex_constraints_ok
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,1,50,1.715,0,13952,44271,10498,1,1,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,2,50,3.260,0,24920,95328,21730,2,2,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,3,50,5.088,0,35367,159418,33963,3,3,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,4,50,6.714,0,44702,215401,45778,4,4,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,5,50,8.320,0,53149,260061,57131,5,5,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,6,50,10.090,0,61534,315309,68996,6,6,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,7,50,11.176,0,68911,367873,81419,7,7,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,8,50,12.635,0,75095,431270,95035,8,8,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,9,50,14.615,0,80906,509381,110424,9,9,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,10,50,16.163,0,86442,579570,126008,10,10,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,11,50,17.062,0,87704,671060,144246,11,11,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,12,50,17.985,0,84898,766417,160252,12,12,1
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,13,50,17.745,0,84898,766416,160252,12,13,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,14,50,17.322,0,84935,766185,160215,12,14,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,15,50,17.575,0,84927,766434,160223,12,15,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,16,50,17.671,0,84932,766436,160218,12,16,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,17,50,17.180,0,84927,766435,160223,12,17,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,18,50,17.458,0,84964,766203,160186,12,18,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,19,50,18.430,0,84903,766418,160247,12,19,0
/Users/iskodisko/project/yandex_search/Multi-Agent-VRP/data/10.json,20,50,17.490,0,84898,766416,160252,12,20,0
